time,sonar,bluewhale,humpbackwhale,ships,bocaccio,plainfinmidshipman,explosions,dolphins,finwhale
2018-11-01 00:00:00+00:00,0.0,0,0.0,0,0,0.0,0,0.0,0.0
2018-11-02 00:00:00+00:00,0.0,0,0.0,0,0,0.0,0,0.0,0.0
2018-11-03 00:00:00+00:00,0.0,0,0.0,0,0,0.0,0,0.0,0.0
2018-11-04 00:00:00+00:00,0.0,0,0.0,0,0,0.0,0,0.0,0.0
2018-11-05 00:00:00+00:00,0.0,0,0.0,0,0,0.0,0,0.0,0.0
2018-11-06 00:00:00+00:00,0.0,0,0.0,0,0,0.0,0,0.0,0.0
2018-11-07 00:00:00+00:00,0.0,0,0.0,0,0,0.0,0,0.0,0.0
2018-11-08 00:00:00+00:00,0.0,0,0.0,0,0,0.0,0,0.0,0.0
2018-11-09 00:00:00+00:00,0.0,0,0.0,0,0,0.0,0,0.0,0.0
2018-11-10 00:00:00+00:00,0.0,0,0.0,0,0,0.0,0,0.0,0.0
2018-11-11 00:00:00+00:00,0.0,0,0.0,0,0,0.0,0,0.0,0.0
2018-11-12 00:00:00+00:00,0.0,0,0.0,0,0,0.0,0,0.0,0.0
2018-11-13 00:00:00+00:00,0.0,0,0.0,0,0,0.0,0,0.0,0.0
2018-11-14 00:00:00+00:00,0.0,0,0.0,0,0,0.0,0,0.0,0.0
2018-11-15 00:00:00+00:00,0.0,0,1.0,2,0,0.0,0,0.0,0.0
2018-11-16 00:00:00+00:00,0.0,21,1.0,3,0,,23,0.0,1.0
2018-11-17 00:00:00+00:00,0.0,14,1.0,3,0,,0,0.0,1.0
2018-11-18 00:00:00+00:00,0.0,74,1.0,4,0,,23,0.0,1.0
2018-11-19 00:00:00+00:00,0.0,8,1.0,8,0,,0,0.0,1.0
2018-11-20 00:00:00+00:00,0.0,142,0.0,2,0,,0,0.0,0.0
2018-11-21 00:00:00+00:00,0.0,16,1.0,0,0,,1,0.0,0.0
2018-11-22 00:00:00+00:00,0.0,3,1.0,1,0,,0,0.0,1.0
2018-11-23 00:00:00+00:00,0.0,261,1.0,1,0,,8,0.0,1.0
2018-11-24 00:00:00+00:00,0.0,598,1.0,0,0,,0,0.0,1.0
2018-11-25 00:00:00+00:00,0.0,370,1.0,5,0,,1,0.0,1.0
2018-11-26 00:00:00+00:00,0.0,161,1.0,2,0,,0,0.0,1.0
2018-11-27 00:00:00+00:00,0.0,90,1.0,5,0,,1,0.0,1.0
2018-11-28 00:00:00+00:00,0.0,128,1.0,1,0,,1,0.0,1.0
2018-11-29 00:00:00+00:00,0.0,18,1.0,0,0,,0,0.0,1.0
2018-11-30 00:00:00+00:00,0.0,185,0.0,0,0,,0,0.0,1.0
2018-12-01 00:00:00+00:00,0.0,36,1.0,0,0,,0,0.0,1.0
2018-12-02 00:00:00+00:00,0.0,128,1.0,6,0,,0,0.0,1.0
2018-12-03 00:00:00+00:00,0.0,11,1.0,3,0,,0,0.0,1.0
2018-12-04 00:00:00+00:00,0.0,166,1.0,4,0,,0,0.0,1.0
2018-12-05 00:00:00+00:00,0.0,77,1.0,0,0,,0,0.0,1.0
2018-12-06 00:00:00+00:00,0.0,12,1.0,0,0,,0,0.0,1.0
2018-12-07 00:00:00+00:00,0.0,28,1.0,7,0,,0,0.0,1.0
