time,sonar,bluewhale,humpbackwhale,ships,bocaccio,plainfinmidshipman,explosions,dolphins,finwhale
2018-11-01,0.0,2089,14.0,37,0,0.0,58,0.0,13.0
2018-12-01,0.0,2153,29.0,88,0,,2,0.0,24.0
2019-01-01,,18,29.0,106,209,,1,0.0,13.0
2019-02-01,,0,15.0,62,271,,0,0.0,4.0
2019-03-01,,0,11.0,108,102,,39,0.0,2.0
2019-04-01,,0,21.0,213,208,1.0,89,0.0,0.0
2019-05-01,,0,13.0,277,459,1.0,78,0.0,0.0
2019-06-01,,22,8.0,259,769,1.0,173,83.0,0.0
2019-07-01,,304,8.0,222,777,1.0,163,72.0,0.0
2019-08-01,,204,11.0,160,2064,1.0,196,45.0,0.0
2019-09-01,,3964,29.0,135,3779,,58,67.0,16.0
2019-10-01,,16938,31.0,137,1275,,6,323.0,31.0
2019-11-01,,17458,30.0,153,1049,,6,294.0,28.0
2019-12-01,,6565,31.0,127,892,,11,227.0,19.0
2020-01-01,,1818,25.0,129,0,,142,169.0,15.0
2020-02-01,,33,12.0,115,0,,101,218.0,9.0
2020-03-01,,30,20.0,124,0,,126,195.0,22.0
2020-04-01,,0,22.0,80,0,,296,112.0,12.0
2020-05-01,,0,20.0,250,0,1.0,1537,95.0,0.0
2020-06-01,,498,6.0,163,0,1.0,724,0.0,0.0
2020-07-01,,1855,3.0,248,0,1.0,628,0.0,2.0
2020-08-01,,5820,12.0,192,0,1.0,23,0.0,20.0
2020-09-01,,7188,30.0,132,0,,236,0.0,30.0
2020-10-01,,12268,31.0,154,0,,97,0.0,31.0
2020-11-01,,13743,29.0,155,0,,2,0.0,30.0
2020-12-01,,22084,31.0,146,0,,11,0.0,30.0
2021-01-01,,2953,29.0,132,0,,29,0.0,31.0
2021-02-01,,1095,7.0,117,0,,20,0.0,18.0
2021-03-01,,104,22.0,149,0,,71,0.0,24.0
2021-04-01,,0,29.0,284,0,1.0,736,0.0,21.0
2021-05-01,1.0,0,29.0,205,0,1.0,1404,0.0,5.0
2021-06-01,1.0,12,3.0,59,0,1.0,177,0.0,0.0
2021-07-01,,0,0.0,0,0,,0,0.0,0.0
2021-08-01,1.0,16675,10.0,164,0,1.0,6,0.0,17.0
2021-09-01,0.0,6468,27.0,269,0,1.0,103,0.0,30.0
2021-10-01,0.0,6168,31.0,132,0,1.0,75,0.0,31.0
2021-11-01,0.0,4426,20.0,38,0,1.0,29,0.0,21.0
