time,plainfinmidshipman,ships,finwhale,explosions,humpbackwhale,bluewhale,bocaccio,dolphins,sonar
2018-11-01,0.0,69,0.0,35,13.0,1223,22,0.0,0.0
2018-12-01,0.0,110,1.0,166,11.0,814,8,0.0,
2019-01-01,0.0,134,0.0,2,8.0,0,137,0.0,
2019-02-01,0.0,89,0.0,0,3.0,0,59,0.0,
2019-03-01,0.0,127,0.0,247,2.0,0,27,0.0,
2019-04-01,,274,0.0,61,15.0,1,59,0.0,
2019-05-01,1.0,500,0.0,128,11.0,0,134,0.0,
2019-06-01,1.0,435,0.0,169,0.0,0,100,44.0,
2019-07-01,1.0,498,0.0,48,3.0,0,273,15.0,
2019-08-01,1.0,314,0.0,195,7.0,257,333,18.0,
2019-09-01,1.0,446,1.0,169,16.0,1083,804,63.0,
2019-10-01,1.0,417,10.0,96,31.0,5880,366,50.0,
2019-11-01,,408,8.0,50,30.0,5064,148,31.0,
2019-12-01,,374,3.0,201,30.0,2797,43,110.0,
2020-01-01,,383,4.0,193,10.0,4617,0,67.0,
2020-02-01,,324,0.0,52,2.0,0,0,166.0,
2020-03-01,,317,10.0,0,12.0,11,0,6.0,
2020-04-01,,345,6.0,273,20.0,0,0,0.0,
2020-05-01,1.0,338,0.0,1530,9.0,0,0,0.0,
2020-06-01,1.0,414,0.0,821,4.0,410,0,0.0,
2020-07-01,1.0,515,0.0,417,4.0,1203,0,0.0,
2020-08-01,1.0,335,1.0,43,1.0,896,0,0.0,
2020-09-01,,0,0.0,0,0.0,0,0,0.0,
2020-10-01,,0,0.0,0,0.0,0,0,0.0,
2020-11-01,,0,0.0,0,0.0,0,0,0.0,
2020-12-01,1.0,259,3.0,3,15.0,2907,0,0.0,1.0
2021-01-01,1.0,318,1.0,36,2.0,210,0,0.0,1.0
2021-02-01,1.0,316,2.0,43,2.0,324,0,0.0,1.0
2021-03-01,1.0,456,2.0,77,9.0,0,0,0.0,1.0
2021-04-01,1.0,431,2.0,30,5.0,0,0,0.0,1.0
2021-05-01,0.0,107,0.0,38,10.0,0,0,0.0,0.0
2021-06-01,0.0,137,0.0,0,1.0,0,0,0.0,0.0
2021-07-01,0.0,161,0.0,0,0.0,0,0,0.0,0.0
2021-08-01,0.0,193,0.0,1,2.0,0,0,0.0,0.0
2021-09-01,0.0,168,0.0,0,15.0,0,0,0.0,0.0
2021-10-01,0.0,162,0.0,0,28.0,0,0,0.0,0.0
2021-11-01,0.0,105,0.0,0,26.0,0,0,0.0,0.0
