time,humpbackwhale,ships,bluewhale,finwhale,dolphins,explosions,sonar
2018-11-01,17.0,35,1866,11.0,0.0,55,0.0
2018-12-01,31.0,63,3354,22.0,0.0,141,
2019-01-01,31.0,88,6,8.0,0.0,8,
2019-02-01,24.0,79,0,7.0,0.0,1,
2019-03-01,31.0,69,0,9.0,0.0,0,
2019-04-01,26.0,62,0,0.0,0.0,27,
2019-05-01,17.0,66,0,0.0,0.0,33,
2019-06-01,8.0,133,8,0.0,263.0,18,
2019-07-01,10.0,155,152,2.0,205.0,4,1.0
2019-08-01,16.0,166,1230,7.0,448.0,55,0.0
2019-09-01,25.0,141,2439,17.0,276.0,11,1.0
2019-10-01,31.0,59,6180,31.0,63.0,0,0.0
2019-11-01,30.0,53,4719,27.0,167.0,0,
2019-12-01,27.0,58,5017,23.0,101.0,3,
2020-01-01,20.0,7,649,7.0,84.0,0,
2020-02-01,0.0,0,0,0.0,0.0,0,
2020-03-01,0.0,0,0,0.0,0.0,0,
2020-04-01,17.0,115,0,0.0,72.0,237,1.0
2020-05-01,22.0,212,0,0.0,153.0,36,0.0
2020-06-01,25.0,119,0,0.0,0.0,36,
2020-07-01,14.0,61,2127,0.0,0.0,218,
2020-08-01,27.0,117,4586,0.0,0.0,0,
2020-09-01,30.0,146,11298,0.0,0.0,13,
2020-10-01,30.0,130,6910,30.0,0.0,3,1.0
2020-11-01,30.0,109,7384,29.0,0.0,0,0.0
2020-12-01,30.0,106,5398,24.0,0.0,0,0.0
2021-01-01,31.0,100,1445,27.0,0.0,0,0.0
2021-02-01,26.0,103,1124,18.0,0.0,0,0.0
2021-03-01,30.0,129,21,9.0,0.0,10,0.0
2021-04-01,30.0,130,0,0.0,0.0,72,0.0
2021-05-01,30.0,99,13,0.0,0.0,61,0.0
2021-06-01,1.0,5,0,0.0,0.0,0,0.0
2021-07-01,0.0,0,0,0.0,0.0,0,0.0
2021-08-01,0.0,0,0,0.0,0.0,0,0.0
2021-09-01,0.0,0,0,0.0,0.0,0,0.0
2021-10-01,0.0,0,0,0.0,0.0,0,0.0
2021-11-01,0.0,0,0,0.0,0.0,0,0.0
