idx,dataset_name,source_id,offset,label,logits,_det_time_utc,original_offset_sec,new_offset_sec
364792,SanctSound_MB01_06_20091,SanctSound_MB01_06_671617061_200914005615.flac,216.625,humpback,0.21621653,2020-09-14 00:59:51.625000+00:00,216.625,0.5
365031,SanctSound_MB01_06_20091,SanctSound_MB01_06_671617061_200914005615.flac,1032.0,humpback,0.0086345,2020-09-14 01:13:27+00:00,1032.0,1.6
365037,SanctSound_MB01_06_20091,SanctSound_MB01_06_671617061_200914005615.flac,1053.0,humpback,0.07523217,2020-09-14 01:13:48+00:00,1053.0,2.7
365183,SanctSound_MB01_06_20091,SanctSound_MB01_06_671617061_200914005615.flac,1550.0,ship,1.1074568,2020-09-14 01:22:05+00:00,1550.0,3.8
365224,SanctSound_MB01_06_20091,SanctSound_MB01_06_671617061_200914005615.flac,1690.0,ship,1.0692427,2020-09-14 01:24:25+00:00,1690.0,4.9
365265,SanctSound_MB01_06_20091,SanctSound_MB01_06_671617061_200914005615.flac,1830.0,ship,1.0045063,2020-09-14 01:26:45+00:00,1830.0,6.0
365435,SanctSound_MB01_06_20091,SanctSound_MB01_06_671617061_200914005615.flac,2410.0,seal_bomb,1.4793178,2020-09-14 01:36:25+00:00,2410.0,7.1
365767,SanctSound_MB01_06_20091,SanctSound_MB01_06_671617061_200914005615.flac,3542.0,seal_bomb,1.9499983,2020-09-14 01:55:17+00:00,3542.0,8.2
365795,SanctSound_MB01_06_20091,SanctSound_MB01_06_671617061_200914005615.flac,3636.0,seal_bomb,1.9245716,2020-09-14 01:56:51+00:00,3636.0,9.3
365885,SanctSound_MB01_06_20091,SanctSound_MB01_06_671617061_200914005615.flac,3944.0,seal_bomb,2.117418,2020-09-14 02:01:59+00:00,3944.0,10.4
365924,SanctSound_MB01_06_20091,SanctSound_MB01_06_671617061_200914005615.flac,4076.0,seal_bomb,2.676795,2020-09-14 02:04:11+00:00,4076.0,11.5
365926,SanctSound_MB01_06_20091,SanctSound_MB01_06_671617061_200914005615.flac,4084.0,seal_bomb,2.5015197,2020-09-14 02:04:19+00:00,4084.0,12.6
365948,SanctSound_MB01_06_20091,SanctSound_MB01_06_671617061_200914005615.flac,4160.0,seal_bomb,2.029205,2020-09-14 02:05:35+00:00,4160.0,13.7
365972,SanctSound_MB01_06_20091,SanctSound_MB01_06_671617061_200914005615.flac,4240.0,seal_bomb,1.8791227,2020-09-14 02:06:55+00:00,4240.0,14.8
366037,SanctSound_MB01_06_20091,SanctSound_MB01_06_671617061_200914005615.flac,4460.0,humpback,0.01859586,2020-09-14 02:10:35+00:00,4460.0,15.9
366049,SanctSound_MB01_06_20091,SanctSound_MB01_06_671617061_200914005615.flac,4504.0,seal_bomb,2.046394,2020-09-14 02:11:19+00:00,4504.0,17.0
366060,SanctSound_MB01_06_20091,SanctSound_MB01_06_671617061_200914005615.flac,4540.0,seal_bomb,2.0581176,2020-09-14 02:11:55+00:00,4540.0,18.1
366068,SanctSound_MB01_06_20091,SanctSound_MB01_06_671617061_200914005615.flac,4568.0,seal_bomb,1.5503232,2020-09-14 02:12:23+00:00,4568.0,19.2
366098,SanctSound_MB01_06_20091,SanctSound_MB01_06_671617061_200914005615.flac,4672.0,humpback,0.21235937,2020-09-14 02:14:07+00:00,4672.0,20.3
366118,SanctSound_MB01_06_20091,SanctSound_MB01_06_671617061_200914005615.flac,4740.0,seal_bomb,2.2018223,2020-09-14 02:15:15+00:00,4740.0,21.4
366142,SanctSound_MB01_06_20091,SanctSound_MB01_06_671617061_200914005615.flac,4820.0,seal_bomb,2.3404262,2020-09-14 02:16:35+00:00,4820.0,22.5
366144,SanctSound_MB01_06_20091,SanctSound_MB01_06_671617061_200914005615.flac,4828.0,seal_bomb,2.43675,2020-09-14 02:16:43+00:00,4828.0,23.6
366145,SanctSound_MB01_06_20091,SanctSound_MB01_06_671617061_200914005615.flac,4832.0,seal_bomb,2.5373926,2020-09-14 02:16:47+00:00,4832.0,24.7
366244,SanctSound_MB01_06_20091,SanctSound_MB01_06_671617061_200914005615.flac,5168.0,seal_bomb,1.3937651,2020-09-14 02:22:23+00:00,5168.0,25.8
366249,SanctSound_MB01_06_20091,SanctSound_MB01_06_671617061_200914005615.flac,5184.0,seal_bomb,1.9817423,2020-09-14 02:22:39+00:00,5184.0,26.9
366282,SanctSound_MB01_06_20091,SanctSound_MB01_06_671617061_200914005615.flac,5296.0,seal_bomb,1.8084558,2020-09-14 02:24:31+00:00,5296.0,28.0
366312,SanctSound_MB01_06_20091,SanctSound_MB01_06_671617061_200914005615.flac,5400.0,seal_bomb,1.7018243,2020-09-14 02:26:15+00:00,5400.0,29.1
366327,SanctSound_MB01_06_20091,SanctSound_MB01_06_671617061_200914005615.flac,5448.0,seal_bomb,1.7577342,2020-09-14 02:27:03+00:00,5448.0,30.2
366334,SanctSound_MB01_06_20091,SanctSound_MB01_06_671617061_200914005615.flac,5476.0,boccacio,0.022687864,2020-09-14 02:27:31+00:00,5476.0,31.3
366344,SanctSound_MB01_06_20091,SanctSound_MB01_06_671617061_200914005615.flac,5508.0,seal_bomb,2.092643,2020-09-14 02:28:03+00:00,5508.0,32.4
366388,SanctSound_MB01_06_20091,SanctSound_MB01_06_671617061_200914005615.flac,5660.0,seal_bomb,1.8696256,2020-09-14 02:30:35+00:00,5660.0,33.5
366390,SanctSound_MB01_06_20091,SanctSound_MB01_06_671617061_200914005615.flac,5664.0,seal_bomb,1.7666637,2020-09-14 02:30:39+00:00,5664.0,34.6
366452,SanctSound_MB01_06_20091,SanctSound_MB01_06_671617061_200914005615.flac,5876.0,seal_bomb,1.6551341,2020-09-14 02:34:11+00:00,5876.0,35.7
